,Fixed_Acidity,Volatile_Acidity,Citric Acid,Sugar,Chlorides,Fixed_Sulfur_dioxide,Total_Sulfur_dioxide,Density,pH,Sulphates,Alcohol,Color,Quality,,,,,,,,
1,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,White,6,,,,,,,,
2,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,White,8,,,,,,,,
3,4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,White,7,,,,,,,,
4,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,White,3,,,,,,,,
5,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,White,6,,,,,,,,
6,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,White,8,,,,,,,,
7,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,White,7,,,,,,,,
8,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,White,5,,,,,,,,
9,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,Red,4,,,,,,,,
10,4.6,,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,White,5,,,,,,,,
11,4.7,,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,Red,6,,,,,,,,
12,4.7,,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,White,5,,,,,,,,
13,4.7,,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,White,7,,,,,,,,
14,4.7,,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,White,6,,,,,,,,
15,4.7,,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,White,5,,,,,,,,
16,4.7,,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,White,6,,,,,,,,
17,4.8,,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,White,6,,,,,,,,
18,4.8,,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,White,5,,,,,,,,
